Address,Price,Link
"Kinderlee Way 16 Kinderlee Mill North, Chisworth, Glossop, Derbyshire, SK13 
 3  1  1 

Virtual Viewing","£130,000",https://edwardmellor.co.uk/property-for-sale/10157545/
"Land Adjacent To 3 Firwood Avenue, Urmston, Manchester, Greater Manchester, M41","£50,000",https://edwardmellor.co.uk/property-for-sale/10157257/
"Land at 153 - 157 Lees Street, Abbey Hey, Gorton, Manchester, M18","£175,000",https://edwardmellor.co.uk/property-for-sale/10157103/
"Land at Buxton Road, Hazel Grove, Stockport, Greater Manchester, SK7","£235,000",https://edwardmellor.co.uk/property-for-sale/10156872/
"Land at the Side of 39 Fox Street, Oldham, Greater Manchester, OL8 
 2  1","£10,000",https://edwardmellor.co.uk/property-for-sale/10157671/
"Land on Grane Road, Haslingden, Rossendale, Lancashire, BB5","£45,000",https://edwardmellor.co.uk/property-for-sale/10157416/
"Lavender Gardens, Warrington, Cheshire, WA5 
 3  2  1 

Virtual Viewing","£170,000",https://edwardmellor.co.uk/property-for-sale/10157551/
"Levens Street, Salford, Greater Manchester, M6 
 2  1","£100,000",https://edwardmellor.co.uk/property-for-sale/10157642/
"Lillington Avenue, Leamington Spa, Warwickshire, CV32 
 7  7","£1,500,000",https://edwardmellor.co.uk/property-for-sale/10156905/
"Lillington Avenue, Leamington Spa, Warwickshire, CV32 
 7  7  7","£1,500,000",https://edwardmellor.co.uk/property-for-sale/10156042/
"Lily Street, Royton, Oldham, Greater Manchester, OL2 
 2  1  1","£90,000",https://edwardmellor.co.uk/property-for-sale/10150762/
"Lingard Street, Reddish, Greater Manchester, SK5 
 2  1  2","£131,000",https://edwardmellor.co.uk/property-for-sale/10157243/
"Lock Side, Stalybridge, Greater Manchester, SK15 
 3  1  2","£120,000",https://edwardmellor.co.uk/property-for-sale/10148769/
"London Road, Hazel Grove, Stockport, Greater Manchester, SK7 
 3  1  2","£195,000",https://edwardmellor.co.uk/property-for-sale/10156585/
"London Road, Hazel Grove, Stockport, Greater Manchester, SK7","£195,000",https://edwardmellor.co.uk/property-for-sale/10147915/
"Marley Road, Levenshulme, Greater Manchester, M19 
 3  1  2 

Virtual Viewing","£195,000",https://edwardmellor.co.uk/property-for-sale/10157106/
"Micklehurst Road, Mossley, Ashton-under-Lyne, Greater Manchester, OL5 
 4  1  1","£135,000",https://edwardmellor.co.uk/property-for-sale/10150764/
"Micklehurst Road, Mossley, Ashton-under-Lyne, Greater Manchester, OL5 
 4  1  1","£135,000",https://edwardmellor.co.uk/property-for-sale/10150765/
"Midville Road, Clayton, Greater Manchester, M11 
 3  1  1","£165,000",https://edwardmellor.co.uk/property-for-sale/10157438/
"Milton Crescent, Cheadle, Cheshire, SK8 
 3  2  2 

Virtual Viewing","£375,000",https://edwardmellor.co.uk/property-for-sale/10157518/
"Minto Street, Ashton under Lyne, Greater Manchester, OL7 
 2  1  1 

Virtual Viewing","£85,000",https://edwardmellor.co.uk/property-for-sale/10157216/
"Musden Walk, Stockport, Greater Manchester, SK4 
 3  1  2 

Virtual Viewing","£165,000",https://edwardmellor.co.uk/property-for-sale/10157169/
"Oldham Road, Ashton under Lyne, Greater Manchester, OL7 
 3  1  1","£110,000",https://edwardmellor.co.uk/property-for-sale/10150766/
"Peckforton Walk, Wilmslow, Cheshire, SK9 
 2  1  1","£165,500",https://edwardmellor.co.uk/property-for-sale/10157391/
"Penthouse Apartment, The Peninsula Building, Kersal Way, Salford, Greater Manchester, M7 
 2  1  1","£60,000",https://edwardmellor.co.uk/property-for-sale/10157466/
"Range Road, Shaw Heath, Stockport, Greater Manchester, SK3 
 2  1","£125,000",https://edwardmellor.co.uk/property-for-sale/10157645/
"Rectory Gardens, Prestwich, Greater Manchester, M25 
 3  1  2","£175,000",https://edwardmellor.co.uk/property-for-sale/10157647/
"Reddish Road Flat 3 Kane Gardens, Reddish, Greater Manchester, SK5 
 1  1  1","£35,000",https://edwardmellor.co.uk/property-for-sale/10157034/
"Robert Street, Barrow-in-Furness, Cumbria, LA14 
 2  1  1","£29,000",https://edwardmellor.co.uk/property-for-sale/10156993/
"Roseacre Close, Bolton, Greater Manchester, BL2 
 3  1  1 

Virtual Viewing","£50,000",https://edwardmellor.co.uk/property-for-sale/10157447/
"Shelley Road, Chadderton, Oldham, Greater Manchester, OL9 
 3  1  1","£85,000",https://edwardmellor.co.uk/property-for-sale/10157339/
"Shirley Avenue, Hyde, Greater Manchester, SK14 
 2  1  1","£140,000",https://edwardmellor.co.uk/property-for-sale/10157565/
"Stand Lane, Radcliffe, Greater Manchester, M26 
 1  1  4","£91,000",https://edwardmellor.co.uk/property-for-sale/10157282/
"Stanhope Road, Salford, Greater Manchester, M6 
 4  1  2 

Virtual Viewing","£195,000",https://edwardmellor.co.uk/property-for-sale/10156944/
"Stansbury Place Offerton, Offerton, Stockport, Cheshire, SK2 
 3  1","£150,000",https://edwardmellor.co.uk/property-for-sale/10156855/
"Stockport Road, Stockport, Greater Manchester, SK3 
 1 

Virtual Viewing","£55,000",https://edwardmellor.co.uk/property-for-sale/10157358/
"Stockport Road & 2 Essex Avenue, Stockport, Greater Manchester, SK3 
 2 

Virtual Viewing","£100,000",https://edwardmellor.co.uk/property-for-sale/10157729/
"Thatch Leach Lane, Whitefield, Manchester, M45 
 3  1  3","£160,000",https://edwardmellor.co.uk/property-for-sale/10157382/
"Tig Fold Road, Farnworth, Bolton, Manchester, BL4 
 2  1  2","£118,000",https://edwardmellor.co.uk/property-for-sale/10157389/
"Town Lane, Denton, Manchester, Greater Manchester, M34 
 2  1 

Virtual Viewing","£141,000",https://edwardmellor.co.uk/property-for-sale/10150789/
"Union Street, Ashton under Lyne, Greater Manchester, OL6 
 3  1  1","£100,000",https://edwardmellor.co.uk/property-for-sale/10150791/
"Vale Road Heaton Mersey Reservoir, Heaton Mersey, Stockport, Greater Manchester, SK4","£20,000",https://edwardmellor.co.uk/property-for-sale/10157271/
"Wellington Street, Ashton under Lyne, Tameside, OL6 
 2  1","£65,000",https://edwardmellor.co.uk/property-for-sale/10155371/
"Westwood Road, Heald Green, Cheadle, Cheshire, SK8 
 3  1  2 

Virtual Viewing","£260,000",https://edwardmellor.co.uk/property-for-sale/10156904/
"Woodbridge Avenue, Audenshaw, Manchester, Greater Manchester, M34 
 3  1  2","£146,000",https://edwardmellor.co.uk/property-for-sale/10150801/
"Wrenbury Crescent, Stockport, Greater Manchester, SK3 
 3  1  1 

Virtual Viewing","£140,000",https://edwardmellor.co.uk/property-for-sale/10157067/
"Yare Quays, Steam Mill Lane, Great Yarmouth, Norfolk, NR31 
 2  2","£100,000",https://edwardmellor.co.uk/property-for-sale/10156467/
